廠牌車系代號,,車種,車系
04,11,客貨兩用車,TUCSON-客貨兩用
04,12,客貨兩用車,SANTAFE-客貨
04,13,小客車,其他-13
04,14,小客車,Elantra
04,15,小貨車,其他-小貨車
04,16,大貨車,其他-大貨車
04,17,小型特種車,小型特種車
04,18,小客車,VENUE
05,01,小客車,速霸陸
05,02,小貨車,速霸陸
06,01,小客車,R-9
06,02,小客車,R-11
06,03,小客車,R-19
06,04,小客車,R-21
06,05,小客車,紅龍
06,06,小貨車,紅龍
06,07,小客車,銀鑽
06,08,小客車,Twingo
06,09,小客車,Alize
07,01,小客車,得利卡-小客車
07,02,小客車,百利-小客車
07,03,小客車,新百利-小客車
07,04,小客車,威利-小客車
07,05,小客車,多利-小客車
07,06,小型特種車,得利卡-小型特種車
07,07,小貨車,得利卡-小貨車
07,08,小貨車,百利-小貨車
07,09,小貨車,威利-小貨車
07,10,小貨車,堅達-小貨車
07,11,大客車,其他-大客車
07,12,大客車,新堅達-大客車
07,13,大客車,得利卡-大客
07,14,大貨車,其他-大貨車
07,15,大貨車,其他-大貨車
07,16,小客車,其他-小客車
07,17,小客車,Lancer-小客車
07,18,小客車,Space Gear-小客車
07,19,小客車,FREECA-小客車
07,20,小貨車,Space Gear-小貨車
07,21,小型特種車,Space Gear-小型特種車
07,22,小客車,Galant-小客車
07,23,小貨車,Freeca-小貨車
07,24,客貨兩用車,菱利 (Veryca)-客貨兩用
07,25,小貨車,菱利(Veryca)-小貨車
07,26,小客車,CPX-小客車
07,27,小客車,Savrin-小客車
07,28,客貨兩用車,Magic-客貨兩用車
07,29,小客車,Grunder-小客車
07,30,客貨兩用車,Savrin Inspire-客貨兩用車
07,31,客貨兩用車,Zinger-客貨兩用車
07,32,小客車,COLTplus-小客車
07,33,客貨兩用車,得利卡-客貨
07,34,客貨兩用車,Outlander-客貨兩用
07,35,小貨車,Zinger-小貨車
07,36,大貨車,5期_大貨車
07,37,小貨車,LEADCA新達-小貨車
07,38,大型特種車,其他-大型特種車
07,39,小型特種車,其他-小型特種車
08,01,小客車,祥瑞
08,02,小客車,標緻
08,03,小客車,新象
08,04,小客車,銀翼
08,05,小貨車,好載
08,06,客貨兩用車,金好載
08,07,小貨車,金好載
08,08,客貨兩用車,穩賺
08,09,小貨車,穩賺
09,01,小客車,豐田瑞獅-Zace Surf
09,02,小客車,豐田CORONA
09,03,小貨車,其他-小貨車
09,04,大客車,其他-大客車
09,05,大貨車,其他-大貨車
09,06,大貨車,其他-大貨車
09,07,曳引車,其他-曳引車
09,08,小客車,豐田TERCEL
09,09,小客車,HIACE
09,10,小客車,其他-小客車
09,11,小客車,COROLLA
09,12,小客車,Camry
09,13,小客車,VIOS
09,14,大型特種車,其他-大型特種車
09,15,小客車,WISH
09,16,小客車,Yaris
09,17,客貨兩用車,Innova
09,18,小貨車,日野-小貨車
09,19,小客車,TOYOTA X
09,20,客貨兩用車,SIENTA_客貨兩用
09,21,小客車,SIENTA_小客車
09,22,小型特種車,其他-小型特種車
10,01,小客車,速霸陸多猛哥
10,02,小客車,速霸陸捷速帝
10,03,小貨車,速霸陸多猛哥
10,04,小客車,金美滿
10,05,小客車,速霸陸金福相
10,06,小貨車,速霸陸金福相
10,07,小客車,Impreza
10,08,小客車,其他-08
11,01,小客車,E系
11,02,小客車,323系
11,03,小貨車,E系
11,04,小客車,新323系
11,05,小型特種車,E系-小型特
11,06,小客車,其他-小客車
11,07,客貨兩用車,其他-客貨
11,08,小客車,Premacy
11,09,小客車,Tribute
11,10,小客車,Mazda 3
11,11,小客車,Mazda 5-小客
11,12,客貨兩用車,Mazda 5-客貨
12,01,小客車,C15系
12,02,小貨車,C15系
13,01,小客車,Sierra-01
13,02,小客車,Sierra-02
13,03,小客車,Scorpio
13,04,小客車,其他-04
13,05,小客車,其他-05
13,06,小貨車,其他-06
13,07,小客車,Mondeo-07
13,08,小客車,Mondeo-08
14,01,小客車,Bronco
14,02,小客車,Tempo-02
14,03,小客車,Tempo-03
14,04,小客車,Mustang-04
14,05,小客車,Mustang-05
14,06,小客車,Escort-06
14,07,小客車,Escort-07
14,08,小客車,Probe-08
14,09,小客車,Probe-09
14,10,小客車,其他-小客車
14,11,小客車,其他-小客車
14,12,小貨車,其他-小貨車
14,13,大客車,其他-大客車
14,14,大貨車,其他-大貨車
14,15,小貨車,其他-小貨車
14,16,大型特種車,其他-大型特種車
14,17,小型特種車,其他-小型特種車
15,01,小客車,R-25-01
15,02,小客車,R-25-02
15,03,小客車,R-21-03
15,04,小客車,R-21-04
15,05,小客車,其他-05
15,06,小客車,其他-06
15,07,大客車,其他-07
15,08,曳引車,其他-08
15,09,大貨車,其他-09
16,01,小客車,505系-01
16,02,小客車,505系-02
16,03,小客車,405系-03
16,04,小客車,405系-04
16,05,小客車,205系-05
16,06,小客車,205系-06
16,07,小客車,其他-07
16,08,小客車,其他-08
16,09,小客車,106系-09
16,10,小客車,206系-10
16,11,小客車,208系-11
17,01,大客車,其他-01
17,02,大貨車,其他-02
17,03,曳引車,其他-03
18,01,小客車,Stellar
18,02,小客車,Excel
18,03,小客車,Sonata
18,04,小客車,其他-小客車
18,05,小貨車,其他-小貨車
18,06,大客車,其他-大客車
18,07,小客車,其他-小客車
18,08,大貨車,其他-大貨車
18,09,小客車,其他-小客車
18,10,小客車,其他-小客車
18,11,曳引車,其他-曳引車
18,12,大型特種車,其他-大型特種車
18,13,小貨車,其他-小貨車
18,14,小型特種車,其他-小型特種車
18,15,小客車,IONIQ
18,16,小客車,Elantra
18,17,小客車,KONA
18,18,小客車,STONIC
19,01,小客車,Sonata-01
19,02,小客車,Sonata-02
20,01,小客車,Fleetwood
20,02,小客車,Deville
20,03,小客車,其他-03
20,04,小貨車,其他-小貨車
20,05,小型特種車,其他-小型特種車
21,01,小客車,Celebrity-01
21,02,小客車,Celebrity-02
21,03,小客車,Cavalier-03
21,04,小客車,Cavalier-04
21,05,小客車,Corsica-05
21,06,小客車,Corsica-06
21,07,客貨兩用車,Artro-07
21,08,小客車,Artro-08
21,09,小客車,其他-09
21,10,小客車,其他-10
21,11,小貨車,其他-11
21,12,大客車,其他-12
21,13,大貨車,其他-13
21,14,大型特種車,其他-14
22,01,小客車,Firenza-01
22,02,小客車,Firenza-02
22,03,小客車,Ciera
22,04,小客車,Cutlass
22,05,小客車,其他-05
23,01,小客車,Sunbird-01
23,02,小客車,Sunbird-02
23,03,小客車,Grand
23,04,小客車,其他-04
23,05,小客車,其他-05
24,01,小客車,Skyhawk-01
24,02,小客車,Skyhawk-02
24,03,小客車,Skylark
24,04,小客車,其他-04
24,05,小型特種車,小型特種車
25,01,小客車,Shadow
25,02,小客車,其他-02
25,03,小客車,其他-03
25,04,小貨車,其他-04
25,05,大客車,其他-05
26,01,小客車,Sable
26,02,小客車,Topaz-02
26,03,小客車,Topaz-03
26,04,小客車,其他-04
26,05,小客車,其他-05
27,01,小客車,Sundance-01
27,02,小客車,Sundance-02
27,03,小客車,Laser
27,04,小客車,其他-04
27,05,小客車,其他-05
27,06,小型特種車,小型特種車
28,01,小客車,Lebaron
28,02,小客車,其他-02
28,03,小客車,Neon
28,04,小型特種車,小型特種車
29,01,小客車,Continental
29,02,小客車,其他-02
29,03,小型特種車,小型特種車
30,01,小客車,190系
30,02,小客車,200系
30,03,小客車,300系
30,04,小客車,500系
30,05,小客車,其他-小客車
30,06,大客車,其他-大客車
30,07,大客車,其他-大客車
30,08,曳引車,其他-曳引車
30,09,大貨車,其他-大貨車
30,10,小型特種車,其他-小型特種車
30,11,小客車,Smart
30,12,大型特種車,其他-大型特種車
30,13,小客車,EQC
30,14,小貨車,其他-小貨車
31,01,小客車,80系(A4) (註)
31,02,小客車,80系-02
31,03,小客車,100系(A6) (註)
31,04,小客車,其他-小客車
31,05,小客車,Q3
31,06,小型特種車,小型特種車
32,01,小客車,Caravelle
32,02,小客車,Passat
32,03,小客車,Jetta-03
32,04,小客車,Jetta-04
32,05,小客車,Golf-05
32,06,小客車,Golf-06
32,07,小客車,其他-小客車
32,08,小客車,其他-小客車
32,09,小型特種車,其他-小型特種車
32,10,小貨車,其他-小貨車
32,11,小客車,T5
32,12,客貨兩用車,其他-客貨
32,13,大客車,其他-大客車
32,14,小客車,T-Cross
33,01,小客車,Malaga
33,02,小客車,Ibiza
33,03,小客車,Ronda
33,04,小貨車,其他-04
33,05,小客車,Toledo-05
33,06,小客車,Toledo-06
33,07,小客車,Leon
33,08,小客車,Barcelona
33,09,小客車,其他-09
34,01,小客車,911系
34,02,小客車,其他-02
34,03,小客車,Macan
34,04,小客車,Panamera
35,01,小客車,Kadett
35,02,小客車,Omega-02
35,03,小客車,Omega-03
35,04,小客車,其他-04
35,05,小客車,Corsa
36,01,小客車,3系
36,02,小客車,5系
36,03,小客車,7系
36,04,小客車,其他-04
36,05,小客車,2系
36,06,小客車,i系
36,07,小型特種車,小型特種車
37,01,小客車,其他-01
38,01,小客車,XJ系
38,02,小客車,Daimler
38,03,小客車,其他-03
38,04,小客車,其他-小客車
39,01,大客車,其他-01
39,02,曳引車,其他-02
39,03,客貨兩用車,其他-03
40,01,小客車,7系
40,02,小客車,其他-02
40,03,小客車,其他-03
40,04,大客車,其他-大客車
40,05,大貨車,其他-大貨車
40,06,曳引車,其他-曳引車
40,07,小客車,9系
40,08,小客車,8系
40,09,小客車,其他-09
40,10,小型特種車,小型特種車
41,01,小客車,其他-01
41,02,小客車,Rover
41,03,小客車,Montego
41,04,小客車,Montego
41,05,小客車,其他
41,06,小貨車,Hardtop
41,07,小貨車,其他-07
41,08,小貨車,其他-08
41,09,小型特種車,小型特種車
42,01,小客車,Thema
42,02,小客車,Prisma
42,03,小客車,其他-03
42,04,小客車,其他-04
43,01,小客車,Regata
43,02,小客車,Uno
43,03,小客車,其他-小客車
43,04,小客車,其他-小客車
43,05,小貨車,其他-小貨車
43,06,大貨車,其他-大貨車
43,07,小客車,Punto
44,01,小客車,其他-01
45,01,小客車,其他-小客車
45,02,小客車,其他-02
46,01,小客車,BX系-01
46,02,小客車,BX系-02
46,03,小客車,其他-03
46,04,小客車,其他-04
46,05,小貨車,其他-05
46,06,小貨車,其他-06
46,07,小貨車,SAXO
47,01,小客車,Alfa-01
47,02,小客車,Alfa-02
47,03,小客車,其他-03
47,04,小客車,其他-04
47,05,小客車,其他-小客車
48,01,小客車,900系
48,02,小客車,9000系
48,03,小客車,其他-03
49,01,小客車,其他-01
49,02,小客車,其他-02
50,01,小客車,其他-小客車
50,02,小型特種車,其他-小型特種車
50,03,大客車,其他-大客車
50,04,大貨車,其他-大貨車
50,05,大貨車,其他-大貨車
50,06,曳引車,其他-曳引車
50,07,小客車,其他-小客車
50,08,大型特種車,其他-大型特種車
50,09,小貨車,其他-小貨車
51,01,大貨車,其他-大貨車
51,02,大貨車,其他-大貨車
51,03,大客車,其他-大客車
51,04,曳引車,其他-曳引車
51,05,小客車,Trooper
51,06,小貨車,其他-小貨車
51,07,小客車,其他-小客車
51,08,大型特種車,其他-大型特種車
51,09,小型特種車,其他-小型特種車
52,01,小客車,Eclipse-01
52,02,小客車,Eclipse-02
52,03,小客車,其他-03
52,04,小客車,其他-04
53,01,小客車,其他-01
53,02,小客車,其他-02
54,01,小客車,E-1500
54,02,小貨車,E-1500
54,03,大貨車,其他-03
54,04,大貨車,其他-04
54,05,大客車,其他-05
54,06,小客車,其他-06
54,07,大型特種車,其他-大型特種車
55,01,小客車,其他-01
55,02,小客車,其他-02
55,03,小貨車,其他-03
56,01,小客車,其他-小客車
56,02,小型特種車,其他-小型特種車
56,03,小型特種車,其他-小型特種車
56,04,小貨車,其他-小貨車
56,05,大客車,其他-大客車
56,06,大客車,其他-大客車
56,07,大貨車,其他-大貨車
56,08,大貨車,其他-大貨車
56,09,小客車,其他-小客車
56,10,小貨車,其他-小貨車
56,11,小客車,LEXUS
56,12,小客車,86
56,13,小客車,AURIS
56,14,小客車,CAMRY
56,15,小客車,Granvia
56,16,大型特種車,其他-大型特種車
57,01,小客車,Corolla-01
57,02,小客車,Corolla-02
57,03,小客車,Camry-03
57,04,小客車,Camry-04
57,05,小貨車,其他-小貨車
57,06,小貨車,其他-小貨車
57,07,小客車,其他-小客車
57,08,小型特種車,小型特種車
58,01,小客車,其他-01
58,02,小客車,其他-02
58,03,大客車,其他-03
58,04,大貨車,其他-大貨車
58,05,大貨車,其他-大貨車
58,06,曳引車,其他-曳引車
58,07,小客車,Infiniti
58,08,小客車,其他-08
58,09,小客車,其他電動-09
58,10,小客車,ALTIMA
58,11,小客車,LEAF
58,12,小型特種車,其他-小型特種車
59,01,小客車,其 他-01
59,02,小貨車,其他-02
59,03,小貨車,其他-03
59,04,小客車,其他-04
60,01,大貨車,其 他-大貨車
60,02,大貨車,其 他-大貨車
60,03,小客車,其他-小客車
61,01,大客車,其 他-01
61,02,曳引車,其 他-02
61,03,大貨車,其 他-03
62,01,小客車,Cherokee
62,02,小客車,Eagle
62,03,小客車,其他-小客車
62,04,小客車,其他-小客車
62,05,小貨車,其他-小貨車
62,06,小貨車,其他-小貨車
63,01,小客車,Legacy -01
63,02,小客車,Legacy -02
63,03,小客車,其他-03
64,01,小客車,其他-01
65,01,小客車,其他-01
66,01,小客車,其他-01
66,02,小客車,其他-02
66,03,小貨車,其他-03
67,01,曳引車,其他-01
67,02,大貨車,其他-02
68,01,小客車,其他-01
69,01,小客車,Accord-01
69,02,小客車,Accord-02
69,03,小客車,Civic-03
69,04,小客車,其他-04
69,05,小客車,Civic-05
69,06,小客車,Acura
69,07,客貨兩用車,其他
70,01,小客車,其他-01
71,01,大客車,大客車
71,02,曳引車,曳引車
71,03,大貨車,大貨車
72,01,小客車,其他-01
72,02,小貨車,其他-02
72,03,小貨車,其他-03
72,04,大貨車,其他-04
72,05,大貨車,其他-05
73,01,小客車,其他-01
74,01,小客車,其他-01
75,01,小客車,其他-01
76,01,小客車,其他-01
77,01,小客車,其他-01
78,01,小客車,其他-01
79,01,小客車,Fantasy
79,02,小客車,其他-02
79,03,小客車,其他-03
79,04,小客車,Leganza-04
79,05,小客車,其他-05
79,06,曳引車,其他-06
79,07,小客車,其他-07
79,08,大客車,其他-08
79,09,大貨車,其他-09
80,01,小客車,Concord
80,02,大貨車,其他-大貨車
80,03,小客車,其他-小客車
80,04,小客車,其他-小客車
80,05,小貨車,卡旺-小貨車
80,06,小客車,其他-小客車
80,07,大客車,其他-大客車
80,08,客貨兩用車,卡旺
80,09,小型特種車,其他-小型特種車
81,01,大客車,其他-01
81,02,曳引車,其他-02
82,01,小客車,其他-01
83,01,小客車,其他-01
84,01,小客車,其他-01
85,01,小客車,其他-01
86,01,小客車,其他-01
87,01,小客車,其他-01
88,01,大客車,其他-01
88,02,大貨車,其他-02
88,03,曳引車,其他-03
89,01,小客車,其他-01
90,01,小客車,其他-01
91,01,小客車,其他-01
92,01,小客車,其他-01
92,02,小型特種車,小型特種車
93,01,小客車,Geo Prizm
93,02,小客車,其他-02
94,01,小客車,其他-01
94,02,小客車,其他-02
94,03,小客車,其他-03
94,04,小客車,其他-04
94,05,小客車,Odyssey
95,01,小貨車,其他-小貨車
95,02,小客車,ESTEEM
95,03,小客車,其他-03
95,04,小客車,其他-04
95,05,小型特種車,小型特種車
96,01,大客車,其他-01
96,02,小客車,其他-02
96,03,大貨車,其他-03
96,04,曳引車,其他-04
96,05,小貨車,其他-05
97,01,大客車,其他-01
98,01,曳引車,其他-曳引車
98,02,小客車,其他-小客車
98,03,小貨車,其他-小貨車
98,04,大貨車,其他-大貨車
98,05,小型特種車,Daily
98,06,大客車,其他-06
98,07,小型特種車,小型特種車
99,01,小貨車,其他-01
99,02,小貨車,其他-02
A1,01,小客車,其他-01
A2,01,小客車,其他-01
A3,01,曳引車,其他-01
A4,01,小客車,其他-01
A4,02,小貨車,其他-02
A4,03,小客車,其他-03
A5,01,小客車,Diesel-01
A5,02,小貨車,Diesel-02
A6,01,小客車,Saturn-01
A6,02,小客車,Saturn-02
A7,01,小客車,Astra
A7,02,小客車,Vectra
A9,01,小貨車,其他-01
AA,00,機車,無
AB,00,機車,無
AC,00,機車,無
AD,00,機車,無
B1,01,小客車,Corsa
B1,02,小客車,Tigra
B2,01,大客車,其他-01
B3,01,小客車,T4
B3,02,小型特種車,T4
B3,03,客貨兩用車,T4
B3,04,客貨兩用車,其他-04
B3,05,大客車,其他-05
B4,01,小貨車,Hummer
B4,02,小客車,Hummer
B5,01,小客車,Sportage
B6,01,小客車,Proton
B6,02,小客車,其他-02
B6,03,小貨車,其他
B7,01,小客車,Fairway
B8,01,小客車,Domani
B8,02,小客車,其他
B9,01,小客車,福豹
B9,02,小貨車,一路發
B9,03,小貨車,福豹-03
B9,04,大貨車,其他-大貨車
B9,05,小型特種車,其他-小型特種車
B9,06,曳引車,其他-曳引車
B9,07,大客車,其他-大客車
B9,08,大型特種車,其他-大型特種車
C1,01,小客車,其他-小客車
C1,02,小型特種車,其他-小型特種車
C2,01,小客車,其他-01
C3,01,小客車,其他-01
C4,01,小客車,ACCENT
C4,02,小客車,XG
C4,03,小客車,Elantra
C4,04,小客車,Matrix
C4,05,小客車,Getz
C4,06,小客車,Tucson
C4,07,小貨車,Porter
C4,08,小客車,SantaFe-小客車
C4,09,小客車,Lavita
C4,10,小客車,i30
C4,11,小貨車,Lavita
C4,12,客貨兩用車,ix35-客貨兩用車
C4,13,客貨兩用車,SantaFe-客貨兩用
C4,14,小型特種車,小型特種車
C5,01,小客車,Magnus
C5,02,小客車,Matiz
C5,03,小型特種車,小型特種車
C6,01,小客車,其他
C7,01,小客車,其他-01
C8,01,小客車,CR-V-小客
C8,02,小客車,Accord
C8,03,小客車,Civic
C8,04,客貨兩用車,CR-V-客貨
C8,05,小客車,FIT
C8,06,小客車,CITY
C8,07,小客車,其他-小客車
C9,01,大客車,其他-01
C9,02,大型特種車,其他-02
D1,01,小客車,Maybach
D2,01,曳引車,其它-01
D2,02,大貨車,其他-02
D2,03,大客車,其他-03
D3,01,大客車,其他-大客車
D3,02,大貨車,其他-大貨車
D3,03,曳引車,其他-曳引車
D4,01,曳引車,其他-曳引車
D4,02,大貨車,其他-大貨車
D4,03,大客車,其他-大客車
D5,01,大客車,其他
D6,01,小客車,其他
D7,01,曳引車,其他-曳引車
D7,02,大貨車,其他-大貨車
D7,03,大客車,其他-大客車
D8,01,大客車,其他-大客車
D8,02,曳引車,其他-曳引車
D8,03,大貨車,其他-大貨車
D9,01,小客車,LaCrosse
D9,02,小客車,Excelle
D9,03,小型特種車,小型特種車
E1,01,客貨兩用車,Town & Country
E2,01,曳引車,其他
E3,01,大貨車,其他-大貨車
E3,02,曳引車,其他-曳引車
E4,01,曳引車,其他-曳引車
E4,02,大客車,其他-大客車
E4,03,大貨車,其他-大貨車
E5,01,客貨兩用車,Luxgen 7-客貨兩用車
E5,02,小客車,Luxgen 7-小客車
E5,03,小客車,Luxgen 5
E5,04,客貨兩用車,Luxgen U6
E5,05,小客車,Luxgen S3
E5,06,小型特種車,其他-小型特種車
E5,07,小客車,Luxgen URX-小客車
E5,08,客貨兩用車,Luxgen URX-客貨兩用車
E6,01,小客車,其他-小客車
E7,01,大客車,其他-大客車
E8,01,小客車,M'Car
E8,02,小客車,W'Car
E8,03,小客車,M'way
E8,04,小客車,Q'way
E9,01,小客車,Apola
E9,02,小客車,Fresh-小客車
E9,03,小貨車,Awin-小貨車
F1,01,大客車,其他-大客車
F1,02,大貨車,其他-大貨車
F2,01,大貨車,其他-大貨車
F2,02,大型特種車,其他-大特
F3,01,大貨車,其他-大貨車
F3,02,曳引車,其他
F4,01,大客車,其他-大客車
F5,01,小客車,其他-小客車
F6,01,小客車,其他-小客車
F7,01,小客車,其他-小客車
F8,01,大貨車,其他-大貨車
F8,02,小貨車,其他-小貨車
F9,01,小客車,其他-小客車
G1,01,大客車,其他-大客車
G2,01,小客車,其他-小客車
G3,01,大客車,其他-大客車
G4,01,小客車,其他-小客車
G5,01,大貨車,其他-大貨車
G5,02,曳引車,其他-曳引車
G6,01,大客車,其他-大客車
G7,01,小貨車,其他-小貨車
G7,02,小客車,其他-小客車
G7,03,小型特種車,小型特種車
G8,01,小客車,其他-小客車
G9,01,小客車,其他-小客車
H1,01,大客車,其他
H2,01,小客車,其他-小客車
H3,01,大客車,其他-大客車
H4,01,小客車,其他-小客車
H4,02,小客車,其他-小客車(降價)
H5,01,大客車,其他-大客車
H6,01,大客車,其他-大客車
H7,01,小貨車,其他-小貨車
H7,02,大貨車,其他-大貨車
H7,03,小型特種車,小型特種車
H8,01,大客車,其他-大客車
H9,01,小客車,其他-小客車
I1,01,大客車,其他-大客車
I1,02,曳引車,其他-曳引車
I2,01,小型特種車,其他-小型特種車
I3,01,小客車,其他-小客車
I4,01,曳引車,其他-曳引車
I4,02,大貨車,其他-大貨車
I5,01,小客車,其他-小客車
I6,01,小客車,其他-小客車
I7,01,小客車,其他-小客車
I7,02,小貨車,其他-小貨車
I8,01,小客車,其他-小客車
I8,02,客貨兩用車,其他-客貨兩用車
I9,01,小客車,其他-小客車
J1,01,小客車,其他-小客車
J2,01,小客車,其他-小客車
J3,01,小客車,其他-小客車
J4,01,大客車,其他-大客車
J5,01,大客車,其他-大客車
J6,01,小貨車,其他-小貨車
J6,02,小型特種車,其他-小型特種車
J7,01,小客車,CIVIC
J8,01,小貨車,其他-小貨車
J8,02,小客車,其他-小客車
J9,01,大客車,其他-大客車
K1,01,大型特種車,其他-大型特種車
K2,01,大客車,其他-大客車
K3,01,大客車,其他-大客車
K4,01,小客車,C-HR
K4,02,小客車,SUPRA
K5,01,大客車,其他-大客車
K6,01,小客車,小客車
K7,01,曳引車,曳引車
K7,02,大貨車,其他-大貨車
K8,01,小客車,Karma(Revero)
K9,01,大客車,大客車
L1,01,大客車,其他-大客車
L2,01,大客車,其他-大客車
L3,01,小貨車,其他-小貨車
L4,01,小客車,其他-小客車
L5,01,小型特種車,其他-小型特種車
L6,01,小客車,其他-小客車
MA,00,機車,無
MB,00,機車,無
MC,00,機車,無
MD,00,機車,無
ME,00,機車,無
MF,00,機車,無
MG,00,機車,歐美進口(已取消)
MH,00,機車,無
MI,00,機車,無
MI,01,機車,Sfera
MI,02,機車,Vespa ET8
MJ,00,機車,無
MK,00,機車,無
ML,00,機車,無
MM,00,機車,其他
MM,01,機車,松營
MN,00,機車,無
mo,00,機車,無
OM,00,機車,其他
UA,00,機車,無
UA,01,機車,F650
UA,02,機車,R1150
UA,03,機車,R1200
UA,04,機車,K1200
UA,05,機車,C1
UA,06,機車,R1100S
UB,00,機車,無
UB,01,機車,ZIP
UC,00,機車,無
UC,01,機車,Daytona 955i
UC,02,機車,Speed
UC,03,機車,Sprint
UC,04,機車,TT600
UC,05,機車,Tiger
UC,06,機車,Thunderbird
UC,07,機車,Bonneville
UC,08,機車,America
UC,09,機車,Speedmaster
UD,00,機車,無
UD,01,機車,Superbike
UD,02,機車,Monster
UD,03,機車,Supersport
UE,00,機車,其他-01
UF,00,機車,無
UG,00,機車,無
UH,00,機車,無
UI,00,機車,無
UJ,00,機車,無
UK,00,機車,無
UL,00,機車,無
UM,00,機車,無
Z9,01,大客車,其他-大客車
Z9,02,小客車,其他-小客車
